PLAYER,TEAM,INJURY1,INJURY2,STATUS,DATE1,DATE2,DAYS,CASH EARNED,first_name,last_name,key_mlbam,key_retro,key_bbref,key_fangraphs,mlb_played_first,mlb_played_last,DATE1_NEW,DATE2_NEW,Year
Luke Weaver,ARI,,Arm,60-day,,5/27 - 9/21,118,"$368,750 ",luke,weaver,596133,weavl001,weavelu01,16918,2016,2020,,5/27/2019,2019
Matt Harvey,LAA,,Back,10-day,,5/25 - 7/13,50,"$2,957,000 ",matt,harvey,518774,harvm001,harvema01,11713,2012,2020,,5/25/2019,2019
Trevor Williams,PIT,,Oblique,10-day,,5/17 - 6/19,34,"$106,760 ",trevor,williams,592866,willt002,willitr01,16977,2016,2020,,5/17/2019,2019
Jonathan Loaisiga,NYY,,Shoulder,60-day,,5/13 - 8/13,93,"$280,302 ",jonathan,loaisiga,642528,loaij001,loaisjo01,19753,2018,2020,,5/13/2019,2019
Felix Hernandez,SEA,,Shoulder,60-day,,5/12 - 8/24,105,"$15,241,905 ",felix,hernandez,433587,hernf002,hernafe02,4772,2005,2019,,5/12/2019,2019
Tyson Ross,DET,,Elbow,60-day,,5/12 - 9/29,141,"$4,358,874 ",tyson,ross,475115,rosst001,rossty01,7872,2010,2019,,5/12/2019,2019
Tyler Glasnow,TB,,Arm,60-day,,5/11 - 9/8,121,"$368,687 ",tyler,glasnow,607192,glast001,glasnty01,14374,2016,2020,,5/11/2019,2019
Allen Webster,CHC,,Arm,60-day,,5/11 -,510,"$1,782,450 ",allen,webster,543903,websa001,webstal01,3993,2013,2019,,5/11/2019,2019
Clay Buchholz,TOR,Arm,Shoulder,10-day,3/28 - 4/13,5/10 - 8/25,125,"$2,016,125 ",clay,buchholz,453329,buchc001,buchhcl01,3543,2007,2019,3/28/2019,5/10/2019,2019
Steven Matz,NYM,,Elbow,10-day,,5/9 - 5/18,10,"$141,130 ",steven,matz,571927,matzs001,matzst01,13361,2015,2020,,5/9/2019,2019
Jameson Taillon,PIT,,Elbow,60-day,,5/4 - 9/29,149,"$470,691 ",jameson,taillon,592791,tailj001,taillja01,11674,2016,2019,,5/4/2019,2019
Corey Kluber,CLE,,Arm,60-day,,5/3 - 9/29,150,"$13,709,700 ",corey,kluber,446372,klubc001,klubeco01,2429,2011,2020,,5/3/2019,2019
Chase Anderson,MIL,,Finger,10-day,,5/2 - 5/18,17,"$548,386 ",chase,anderson,502624,andec001,anderch01,6895,2014,2020,,5/2/2019,2019
Carlos Rodon,CHW,,Elbow,60-day,,5/2 - 9/29,151,"$3,409,731 ",carlos,rodon,607074,rodoc001,rodonca01,16137,2015,2020,,5/2/2019,2019
Drew Smyly,TEX,,Arm,10-day,,4/20 - 5/5,16,"$602,144 ",drew,smyly,592767,smyld001,smylydr01,11760,2012,2020,,4/20/2019,2019
Nathan Eovaldi,BOS,,Elbow,60-day,,4/20 - 7/20,92,"$8,408,616 ",nathan,eovaldi,543135,eovan001,eovalna01,9132,2011,2020,,4/20/2019,2019
Marco Estrada,OAK,,Back,60-day,,4/17 - 8/20,126,"$2,709,630 ",marco,estrada,462136,estrm001,estrama01,1118,2008,2019,,4/17/2019,2019
Jacob deGrom,NYM,,Elbow,10-day,,4/16 - 4/26,11,"$413,974 ",jacob,degrom,594798,degrj001,degroja01,10954,2014,2020,,4/16/2019,2019
Freddy Peralta,MIL,,Shoulder,10-day,,4/16 - 5/2,17,"$51,595 ",freddy,peralta,642547,peraf001,peralfr01,18679,2018,2020,,4/16/2019,2019
Wade LeBlanc,SEA,,Oblique,10-day,,4/14 - 5/18,35,"$376,355 ",wade,leblanc,453281,leblw001,leblawa01,5221,2008,2020,,4/14/2019,2019
Nate Karns,BAL,,Arm,60-day,,4/9 -,542,"$2,331,142 ",nate,karns,501992,karnn001,karnsna01,12638,2013,2019,,4/9/2019,2019
Mike Montgomery,CHC,,Shoulder,10-day,,4/6 - 5/8,33,"$432,894 ",mike,montgomery,543557,montm002,montgmi01,4869,2015,2020,,4/6/2019,2019
Justin Verlander,,,Healthy,,,,,,justin,verlander,434378,verlj001,verlaju01,8700,2005,2020,,,2019
Eduardo Rodriguez,,,Healthy,,,,,,eduardo,rodriguez,593958,rodre004,rodried05,13164,2015,2019,,,2019
Eduardo Rodriguez,,,Healthy,,,,,,eduardo,rodriguez,121350,rodre102,rodried01,1011102,1973,1979,,,2019
